en,jp,id
famous,有名ゆうめいな(形容詞),1
weekend,週末しゅうまつに(名詞),2
soon,まもなく，すぐに(副詞),3
still,まだ(副詞),4
popular,人気にんきの(形容詞),5
practice,練習れんしゅうする(動詞),6
during,～の間あいだ(前置詞),7
enjoy,楽たのしむ(動詞),8
favorite,お気きに入いりの(形容詞),9
sell,を売うる(動詞),10
bring,持もって来くる(動詞),11
expensive,高価こうかな，費用ひようのかかる(形容詞),12
join,参加さんかする(動詞),13
so,とても(副詞),14
leave,去さる，残のこす，置おいて行いく(動詞),15
enough,十分じゅうぶんな(形容詞),16
happen,起おこる(動詞),17
different,違ちがった(形容詞),18
invite,招待しょうたいする(動詞),19
how about,はどうですか？(熟語),20
plan,計画けいかくする(動詞),21
ask,たずねる(動詞),22
until,まで，までは(前置詞),23
almost,ほとんど(副詞),24da
sick,病気びょうきの(形容詞),25
excited,興奮こうふんした(形容詞),26
science,科学かがく(名詞),27
library,図書館としょかん(名詞),28
visit,訪問ほうもんする(動詞),29
cheap,安やすい(形容詞),30
then,そのとき(副詞),31
show,見みせる(動詞),32
instead,そのかわりに(副詞),33
what about,～はどうですか(熟語),34
garden,庭にわ(名詞),35
look for,を探さがす(熟語),36
meet,会あう(動詞),37
because of,～が理由で(熟語),38
by,のそばに、によって(前置詞),39
stay,滞在たいざいする(動詞),40
hope,望のぞむ(動詞),41
delicious,おいしい(形容詞),42
together,一緒いっしょに(副詞),43
decide,決心けっしんする(動詞),44
later,後のちに(副詞),45
festival,祭まつり(名詞),46
vacation,休暇きゅうか(名詞),47
own,自分じぶんの(形容詞),48
noon,正午しょうご(名詞),49
important,重要じゅうような(形容詞),50
remember,思おもい出だす(動詞),51
nervous,あがっている(形容詞),52
look,見みる(動詞),53
weather,天気てんき(名詞),54
in front of,の前まえに(熟語),55
have to,～しなければならない(熟語),56
grow,育そだてる(動詞),57
carry,運はこぶ(動詞),58
heavy,重おもい(形容詞),59
need to,～する必要ひつようがある(熟語),60
a lot of,たくさんの(熟語),61
sure,確信かくしんして(形容詞),62
arrive,到着とうちゃくする(動詞),63
over there,あそこに(熟語),64
borrow,借かりる(動詞),65
place,場所ばしょ(名詞),66
break,壊こわれる，破やぶる(動詞),67
June,6月がつ(名詞),68
usually,普通ふつうは(副詞),69
win,勝かつ(動詞),70
healthy,健康けんこうな(形容詞),71
sign,標識ひょうしき(名詞),72
one day,ある日ひ(熟語),73
maybe,たぶん(副詞),74
how often,どのぐらいの頻度ひんど(熟語),75
hurt,を傷きずつける(動詞),76
dictionary,辞書じしょ(名詞),77
put,置く(動詞),78
try on,試着しちゃくする(熟語),79
difficult,難むずかしい(形容詞),80
be interested in,に興味きょうみがある(熟語),81
when,～するとき(接続詞),82
beside,横よこに(前置詞),83
strong,強つよい(形容詞),84
believe,信しんじる(動詞),85
sad,悲かなしい(形容詞),86
should,～すべきである(助動詞),87
clock,置おき時計どけい(名詞),88
million,100万まん(名詞),89
bright,明あかるい(形容詞),90
again,もう一度いちど、再ふたたび、また(副詞),91
hear,聞きく(動詞),92
look forward to,～を楽たのしみにする(熟語),93
cook,料理りょうりする(動詞),94
drive,運転うんてんする(動詞),95
face,顔かお(名詞),96
get,得える(動詞),97
find,見みつける(動詞),98
lake,湖みずうみ(名詞),99
really,本当ほんとうに(副詞),100
sometimes,時々ときどき(副詞),101
